part_number	type	description	quantity_in_stock	cost	retail_price
GRMZM0000001	thingamajig	"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quisque commodo bibendum massa commodo condimentum. Praesent arcu massa, cursus eget imperdiet non, mattis dictum libero. Nullam venenatis faucibus rhoncus. Donec cursus orci elit, id vehicula tortor consectetur vitae. Pellentesque et elit malesuada, scelerisque urna at, semper tellus. Sed eget velit in magna ullamcorper mollis. Nam augue magna, pharetra dignissim consectetur sed, porttitor vel justo. Quisque varius viverra elit ultricies aliquam. Donec porttitor magna sem, sed convallis nulla ultrices vitae. Vivamus dapibus euismod leo, ut condimentum arcu volutpat a. Suspendisse in diam lectus. Maecenas vitae convallis ligula, at ornare metus. In volutpat arcu eget urna porttitor varius. Maecenas aliquet urna pretium, auctor nisi vitae, accumsan nisi. Aliquam quis tellus interdum, dictum erat vitae, feugiat est."	2030	$0.64	$0.90
GRMZM0000002	widget	"Proin sit amet enim quam. Mauris venenatis velit at dapibus tincidunt. Aenean massa ante, euismod et enim at, dignissim tincidunt quam. Aliquam porttitor sit amet felis a molestie. Aenean varius metus vel nisl gravida vestibulum. Sed sit amet pretium nulla, id luctus lorem. Fusce feugiat iaculis sem quis ornare. Donec pulvinar, urna gravida faucibus convallis, enim dolor ornare orci, ac fringilla augue ante id metus. Ut lobortis rutrum magna et placerat. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Duis aliquam velit facilisis, faucibus ligula sit amet, consequat diam. Suspendisse tempor ipsum sit amet cursus rhoncus."	91	$0.95	$1.33
GRMZM0000003	doodad	"Mauris magna velit, blandit at auctor sed, porttitor ornare turpis. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Ut elementum arcu ultrices ligula posuere vulputate. Integer mollis quis diam nec lobortis. Praesent hendrerit tellus quis tincidunt consectetur. Duis vel sapien eget tellus rutrum hendrerit. Vestibulum nec enim consectetur, laoreet enim placerat, pretium sem. Sed aliquam tortor velit, quis bibendum magna rhoncus sed. Proin nec tincidunt eros. Curabitur porttitor ullamcorper condimentum. Aliquam sed venenatis nunc. Phasellus egestas viverra dapibus. Nam non hendrerit enim, quis lacinia est. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Etiam ultricies viverra volutpat."	4676	$0.87	$1.22
GRMZM0000004	widget	"Fusce vitae arcu eu sapien lobortis hendrerit. Integer facilisis odio dolor, vitae cursus nulla mollis non. Nulla semper purus sit amet lectus rhoncus placerat. Nunc posuere egestas tempus. Morbi sit amet orci consectetur, condimentum tellus at, dapibus felis. Maecenas lacinia magna eu neque rhoncus porta. Vestibulum auctor lectus ultricies, interdum magna nec, egestas diam. Nam tristique metus suscipit iaculis blandit. Fusce interdum, mi id tristique condimentum, nisl quam faucibus justo, aliquam iaculis arcu enim sodales purus. Donec semper eleifend quam, id mattis urna gravida quis. Sed sodales leo vel rhoncus malesuada. Mauris massa dolor, porta pulvinar lectus ut, auctor elementum nisi. Phasellus lacinia nec justo a fermentum."	3073	$0.34	$0.48
GRMZM0000005	doodad	"Maecenas tellus ipsum, commodo at auctor non, vestibulum consequat felis. Phasellus arcu odio, porttitor id nulla at, consectetur vestibulum metus. Proin venenatis odio ut elit vehicula luctus. Nullam imperdiet imperdiet sem, a dictum lacus adipiscing sit amet. Etiam felis est, dictum ac erat vel, congue congue dui. Sed at turpis neque. Quisque imperdiet dolor eget diam fringilla vulputate. Donec commodo dui ut aliquam faucibus. Aenean dictum enim nisi, nec laoreet risus congue id. Curabitur fringilla blandit sapien vel condimentum."	8633	$0.66	$0.92
GRMZM0000006	doodad	"Nullam a est ac sapien accumsan molestie. Sed dignissim lacus quis vestibulum iaculis. In in pharetra sem. Aenean odio libero, aliquam in aliquam eget, mattis in lorem. Suspendisse interdum nisi turpis, sed iaculis turpis tincidunt eget. Etiam sed enim ultricies, feugiat neque sit amet, porttitor leo. Aenean ac est sed quam porttitor lobortis. Ut leo mi, tempor sodales nunc at, pulvinar gravida quam. Maecenas in nibh malesuada quam laoreet iaculis eget fringilla mi. In gravida dignissim magna, eu consequat elit consequat sed. Cras non posuere urna, vel eleifend ligula. Etiam vulputate, purus nec molestie adipiscing, sapien lorem pretium lacus, in vestibulum nisl felis id augue. Quisque pharetra diam eget mauris porttitor, ut suscipit purus mattis. Nulla malesuada diam sit amet scelerisque volutpat. In ac gravida ante."	7748	$0.28	$0.39
GRMZM0000007	widget	"Pellentesque varius, arcu ut dignissim sodales, lectus leo volutpat arcu, quis sodales dolor nisl sit amet nibh. Nulla lacinia congue arcu, vitae adipiscing sem hendrerit sit amet. Vestibulum dictum tellus tellus, nec pellentesque nulla lacinia non. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras bibendum purus commodo accumsan aliquet. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Suspendisse in lacus aliquet, consequat enim in, lacinia erat. Phasellus eu interdum lectus. Duis egestas blandit dui, ac auctor mi scelerisque id. Aliquam sed malesuada dolor, eget fermentum libero. Phasellus facilisis eget lorem vel faucibus. Aliquam pharetra massa euismod pellentesque facilisis. Donec imperdiet tortor non lacus blandit, id malesuada ante lobortis. Etiam a nisi at ante consequat faucibus. Curabitur dapibus urna at mauris tristique fringilla."	3955	$0.90	$1.25
GRMZM0000008	widget	"Pellentesque eu aliquet nisl. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Aenean nec enim eget quam auctor pellentesque. Nullam et massa lorem. Mauris malesuada risus quis eleifend scelerisque. Etiam dolor turpis, feugiat in est sed, pellentesque malesuada nisl. Pellentesque neque felis, pulvinar eu purus in, semper commodo purus. In leo justo, vehicula nec quam a, molestie faucibus nibh. Sed eros dui, interdum vel velit at, consectetur auctor orci. Vivamus egestas dapibus nulla a placerat. Ut commodo ligula eu sem pretium, eget hendrerit orci mattis. Cras vehicula magna lacinia malesuada vehicula. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nunc ac elementum lacus."	9922	$0.22	$0.31
GRMZM0000009	thingamajig	"Integer ante dolor, sagittis commodo ligula in, consectetur egestas est. Curabitur suscipit purus ac sem lobortis, vel suscipit ipsum facilisis. In feugiat euismod tellus quis egestas. Proin sit amet luctus eros. Pellentesque et lectus sollicitudin, laoreet mauris ut, cursus tellus. Donec nulla mi, pellentesque ac semper eget, gravida et turpis. Sed quis viverra sem. Sed leo nisl, adipiscing quis nibh id, ullamcorper consequat mi. Nullam in lectus molestie, consequat nulla quis, facilisis metus. Aenean facilisis sem vel urna pretium, et lobortis ligula dictum. Vivamus nunc sapien, feugiat eget commodo id, varius a magna. Suspendisse in felis metus. Nullam dapibus purus eros, vel luctus urna cursus a."	1387	$0.63	$0.89
GRMZM0000010	thingamajig	"Nunc consequat urna eget magna interdum venenatis. Cras sed sodales nisl. Pellentesque at vulputate arcu. Vivamus mollis arcu eu erat volutpat elementum. In lacinia iaculis purus, pellentesque adipiscing nisi porttitor et. In egestas nulla non ligula iaculis scelerisque. Donec varius sapien ac lorem malesuada egestas."	2217	$0.18	$0.25
GRMZM0000011	thingamajig	"Proin euismod sem id nisl ultrices adipiscing. Maecenas ut neque est. Curabitur accumsan diam quis libero placerat tempus. In placerat fringilla tortor vel dictum. Duis malesuada, tellus sit amet facilisis suscipit, velit nulla sodales lectus, feugiat viverra sapien est non elit. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Pellentesque ac gravida nulla, id adipiscing metus."	5022	$0.43	$0.61
GRMZM0000012	widget	"Cras pulvinar luctus nunc non commodo. Duis aliquet vehicula magna eu posuere. Quisque feugiat lectus tristique erat egestas, nec molestie dolor interdum. Integer mollis, erat sit amet tincidunt condimentum, ligula massa ullamcorper mauris, eget fringilla lorem sem quis lorem. Integer purus magna, convallis vel tortor a, sollicitudin commodo lorem. Nulla laoreet leo eu velit tempus, ut gravida orci ultrices. Nulla facilisi. Mauris sed odio sit amet felis semper pulvinar. Fusce bibendum dapibus venenatis. Integer malesuada, velit id molestie tristique, purus nibh condimentum magna, a semper lorem justo sit amet massa."	6359	$0.10	$0.14
GRMZM0000013	doodad	"Nunc sed sapien leo. Donec sed iaculis massa, ut pellentesque enim. Pellentesque vel lacinia nisl, id ultricies mauris. Aenean felis lacus, euismod quis metus ac, dictum porta nulla. Ut at nunc sit amet leo adipiscing ullamcorper ut quis quam. Praesent vel nisi vitae justo luctus dignissim nec at arcu. Suspendisse tempor mi in rhoncus scelerisque. Morbi justo sapien, gravida in fermentum accumsan, tincidunt eget quam. In non ultrices lorem. Morbi ultrices sollicitudin eros a congue. Praesent dapibus, nunc ac tristique scelerisque, sapien ante consectetur leo, quis laoreet tortor enim eu eros. Ut volutpat scelerisque augue, ut congue eros vulputate molestie. Duis volutpat molestie lacus eu cursus. Mauris mollis fermentum tortor, quis facilisis magna porttitor eget."	2436	$0.24	$0.33
GRMZM0000014	widget	"Sed et sem eget purus posuere ornare in sagittis risus. Nunc pulvinar ornare dapibus. Aliquam erat volutpat. Duis lobortis eros vitae elit iaculis blandit. Aenean faucibus ac est et pulvinar. Nullam tristique eros quam, in porta nibh gravida a. Sed ut felis nec odio condimentum commodo quis et ligula. Morbi id quam orci. Sed ac tincidunt ipsum. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Aenean ac sapien tortor. Morbi eleifend mi et elit pharetra ornare. Duis viverra sollicitudin lobortis. Mauris vitae semper tellus. Phasellus eu pellentesque arcu."	4266	$0.08	$0.12
GRMZM0000015	thingamajig	"Suspendisse fermentum a odio id luctus. Vestibulum non sodales velit. Suspendisse potenti. Donec non malesuada lacus, sed accumsan risus. Vivamus sit amet laoreet ligula, at tincidunt lorem. Sed eget urna dignissim, accumsan lorem eu, egestas velit. Curabitur ultricies nisi tellus, eget viverra felis iaculis eu. In sed mollis lacus. Nunc tempor lorem quis feugiat sollicitudin. Vivamus adipiscing dignissim consequat. Nam at lacus purus. Nullam sagittis accumsan mauris, vitae semper nunc. Curabitur pharetra diam vel nisi sodales vestibulum non a odio. Aenean ac ipsum eget leo tincidunt aliquet. Maecenas aliquet scelerisque molestie."	3901	$0.87	$1.22
GRMZM0000016	thingamajig	"Phasellus sit amet varius enim, ac ornare dolor. Suspendisse a nisl dapibus, tempor mauris nec, ultrices neque. Nunc iaculis congue nulla, quis vehicula mi aliquam quis. Donec pharetra accumsan lectus at ultrices. Proin id ullamcorper odio. Vestibulum massa justo, porttitor sit amet varius non, egestas sed metus. Phasellus malesuada posuere libero blandit porta. Sed nec molestie orci. Integer tempor nulla vitae magna ornare, vitae rutrum turpis elementum. Nunc metus lectus, condimentum vitae nibh vitae, convallis cursus justo. Aenean nec vulputate orci, vitae suscipit libero. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Integer metus orci, euismod in elit vitae, sagittis tempor dui."	4126	$0.72	$1.00
GRMZM0000017	thingamajig	"Integer fermentum diam massa, ut adipiscing dui interdum ut. Phasellus eget purus quis lacus congue sollicitudin. Aliquam dignissim urna vitae suscipit dignissim. Praesent semper magna lacus, et molestie ipsum tempor vehicula. Aliquam convallis gravida ante aliquam lacinia. Praesent porta accumsan ipsum eu cursus. Quisque sed suscipit metus, id consectetur metus. Curabitur posuere in enim non tempus. In hac habitasse platea dictumst. Duis ullamcorper nibh elit, scelerisque pulvinar magna tempus a. Nunc eget tellus arcu."	3959	$0.33	$0.47
GRMZM0000018	widget	"Duis tempus sem id metus aliquam interdum. Aenean cursus lectus ac luctus molestie. Aliquam erat volutpat. Sed non dui in ipsum fringilla ultricies. Aliquam vitae porttitor nunc, at interdum ipsum. Etiam quis mi luctus, consectetur nunc vitae, sagittis lorem. Suspendisse imperdiet iaculis vulputate. Praesent dignissim elit sollicitudin vehicula porttitor. Sed sed facilisis metus, a malesuada nunc. Pellentesque sed vehicula tellus. Etiam hendrerit, arcu euismod semper varius, elit purus adipiscing nibh, nec fermentum neque lacus eu velit. Donec dignissim lacus porta, venenatis enim fermentum, faucibus mi. Vestibulum ac felis eget elit convallis molestie nec nec nunc."	4180	$0.77	$1.07
GRMZM0000019	widget	"Mauris ullamcorper neque a quam laoreet, in pulvinar sapien sollicitudin. Donec sodales ante ultricies, sodales lectus non, sodales odio. Pellentesque ac ornare lectus. Nullam dapibus interdum tellus sed dapibus. Phasellus bibendum odio nulla, in egestas justo bibendum sit amet. Praesent justo justo, rhoncus quis felis ut, ullamcorper eleifend turpis. Morbi ultricies ornare enim, sit amet semper dui egestas sit amet."	3343	$0.05	$0.07
